DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
101318693,08/13/2010,08/12/2010,2300,13,Newton,1385,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,SAN PEDRO,62ND,"(33.9834, -118.2695)"
130104604,01/11/2013,01/11/2013,1200,01,Central,0154,354,THEFT OF IDENTITY,0344 0929,45,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,500 S  SPRING                       ST,,"(34.0474, -118.2496)"
101320053,09/02/2010,09/02/2010,1000,13,Newton,1385,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,60TH,AVALON,"(33.9857, -118.2652)"
101320550,09/08/2010,09/08/2010,1800,13,Newton,1321,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,GRAND,22ND,"(34.03, -118.2701)"
101321555,09/23/2010,09/22/2010,2130,13,Newton,1324,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,21ST,CENTRAL,"(34.0221, -118.2519)"
101323909,10/28/2010,10/27/2010,2300,13,Newton,1309,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,7TH,SANTA FE,"(34.0336, -118.23)"
101919849,08/25/2010,08/22/2010,1400,19,Mission,1974,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,TOBIAS,NORDHOFF,"(34.2354, -118.4517)"
101923537,10/24/2010,10/24/2010,1700,19,Mission,1952,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,LEMARSH,SEPULVEDA,"(34.2555, -118.4674)"
130104612,01/11/2013,01/11/2013,1650,01,Central,0162,440,THEFT PLAIN - PETTY ($950 & UNDER),0601 0344 0104 2004,27,M,B,403,DRUG STORE,,,IC,Invest Cont,440,,,,600 W  7TH                          ST,,"(34.0473, -118.2566)"
130104614,01/11/2013,01/11/2013,1710,01,Central,0152,624,BATTERY - SIMPLE ASSAULT,0917 0416,19,M,H,402,MARKET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,6TH,OLIVE,"(34.0481, -118.2542)"
130104618,01/11/2013,01/08/2013,2100,01,Central,0138,330,BURGLARY FROM VEHICLE,0344 1307,24,M,O,101,STREET,,,IC,Invest Cont,330,,,,4TH                          ST,ALAMEDA,"(34.0433, -118.2381)"
130104620,01/12/2013,01/11/2013,2340,01,Central,0118,946,OTHER MISCELLANEOUS CRIME,1501,32,F,H,101,STREET,,,IC,Invest Cont,946,999,,,LEROY,MAIN,"(34.0658, -118.2296)"
130104624,01/12/2013,01/12/2013,0140,01,Central,0182,624,BATTERY - SIMPLE ASSAULT,0416,30,M,H,735,NIGHT CLUB (OPEN EVENINGS ONLY),400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1200 S  FIGUEROA                     ST,,"(34.0423, -118.2666)"
130104626,01/12/2013,01/08/2013,0700,01,Central,0165,330,BURGLARY FROM VEHICLE,0321 1609 0344,26,M,O,108,PARKING LOT,,,IC,Invest Cont,330,,,,6TH,MAPLE,"(34.0435, -118.2471)"
130104627,01/12/2013,01/12/2013,0135,01,Central,0162,624,BATTERY - SIMPLE ASSAULT,0356,22,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,8TH,OLIVE,"(34.0452, -118.2569)"
101514115,06/12/2010,06/11/2010,1730,15,N Hollywood,1555,510,VEHICLE - STOLEN,,,,,101,STREET,,,AA,Adult Arrest,510,,,,TUJUNGA,RIVERSIDE,"(34.1588, -118.379)"
130104628,01/12/2013,01/11/2013,2145,01,Central,0166,624,BATTERY - SIMPLE ASSAULT,0448,43,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,600    SAN JULIAN                   ST,,"(34.0428, -118.2461)"
130104630,01/12/2013,01/12/2013,0720,01,Central,0163,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,44,M,W,702,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,440,,,,800 S  SPRING                       ST,,"(34.0431, -118.2536)"
130104632,01/11/2013,01/10/2013,2300,01,Central,0181,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,33,F,H,713,CONVENTION CENTER,,,IC,Invest Cont,745,,,,1200 S  FIGUEROA                     ST,,"(34.0423, -118.2666)"
130104633,01/11/2013,01/11/2013,1445,01,Central,0192,624,BATTERY - SIMPLE ASSAULT,0400 0319,44,F,H,710,OTHER PREMISE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1300 S  FLOWER                       ST,,"(34.0401, -118.2668)"
102113141,06/22/2010,06/21/2010,2000,21,Topanga,2138,510,VEHICLE - STOLEN,,,,,101,STREET,,,AO,Adult Other,510,,,,COHASSET,OSO,"(34.2071, -118.5754)"
101418362,08/07/2010,08/07/2010,1530,14,Pacific,1433,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,PALM,PENMAR,"(33.9984, -118.4527)"
130104635,01/12/2013,01/12/2013,0815,01,Central,0185,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0601 2002 2004 1226 0416,72,M,O,103,ALLEY,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,230,,,,1000    SANTEE                       ST,,"(34.0389, -118.255)"
101604353,01/08/2010,01/07/2010,1900,16,Foothill,1612,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,BRADLEY,PINNEY,"(34.2697, -118.4191)"
130104636,01/12/2013,01/12/2013,0815,01,Central,0185,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 2002 1226 0416,64,M,O,103,ALLEY,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,230,,,,1000    SANTEE                       ST,,"(34.0389, -118.255)"
130104644,01/11/2013,01/11/2013,1910,01,Central,0166,624,BATTERY - SIMPLE ASSAULT,0400,52,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,624,,,,500 E  7TH                          ST,,"(34.0412, -118.2474)"
130104647,01/12/2013,01/11/2013,1800,01,Central,0166,310,BURGLARY,0344 1601,50,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,600    SAN JULIAN                   ST,,"(34.0428, -118.2461)"
130104650,01/12/2013,01/12/2013,0815,01,Central,0153,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104,23,F,B,403,DRUG STORE,,,AA,Adult Arrest,442,,,,500 S  BROADWAY,,"(34.0481, -118.2507)"
130104652,01/12/2013,01/12/2013,1215,01,Central,0101,310,BURGLARY,0344 1609,27,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,900    WHITE KNOLL                  DR,,"(34.0671, -118.2483)"
130104654,01/12/2013,01/12/2013,1200,01,Central,0151,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,22,F,H,717,HEALTH SPA/GYM,,,IC,Invest Cont,745,,,,7TH,FIGUEROA                     ST,"(34.0499, -118.2614)"
101927192,12/23/2010,12/22/2010,2000,19,Mission,1904,330,BURGLARY FROM VEHICLE,0344 1307,44,F,H,101,STREET,,,IC,Invest Cont,330,,,,BLEDSOE,OLIVE VIEW,"(34.3236, -118.4448)"
102010956,04/14/2010,04/13/2010,2000,20,Olympic,2011,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,GRAMERCY,1ST,"(34.0731, -118.3124)"
102011301,04/19/2010,04/18/2010,2300,20,Olympic,2015,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,COUNCIL,CATALINA,"(34.0745, -118.2954)"
102015560,06/28/2010,06/25/2010,1100,20,Olympic,2021,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,5TH,WILTON,"(34.0653, -118.314)"
102016100,07/07/2010,06/10/2010,1200,20,Olympic,2058,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,ELDEN,OLYMPIC,"(34.0524, -118.2877)"
102016518,07/14/2010,07/13/2010,1700,20,Olympic,2029,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,5TH,VIRGIL,"(34.0652, -118.2871)"
102016539,07/15/2010,07/14/2010,1700,20,Olympic,2049,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,KINGSLEY,5TH,"(34.0654, -118.3029)"
102017832,08/02/2010,08/01/2010,2200,20,Olympic,2062,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,GRAMERCY,OLYMPIC,"(34.0527, -118.3122)"
102017779,08/01/2010,07/31/2010,2200,20,Olympic,2033,330,BURGLARY FROM VEHICLE,0344 0358 1307 1609,26,M,B,101,STREET,,,IC,Invest Cont,330,,,,HARVARD,6TH,"(34.1921, -118.3072)"
130104662,01/12/2013,01/11/2013,1745,01,Central,0152,480,BIKE - STOLEN,0344,38,M,H,101,STREET,,,IC,Invest Cont,480,,,,500 S  FLOWER                       ST,,"(34.0516, -118.2561)"
130104669,01/13/2013,01/13/2013,0100,01,Central,0159,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411,21,M,H,102,SIDEWALK,223,UNKNOWN TYPE CUTTING INSTRUMENT,IC,Invest Cont,230,,,,MATEO,INDUSTRIAL,"(34.0352, -118.2323)"
102026060,12/23/2010,12/19/2010,1600,20,Olympic,2039,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,SUNSET,HOOVER,"(34.0608, -118.2842)"
102105561,01/30/2010,01/26/2010,2000,21,Topanga,2149,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,6800    HATILLO                      AV,,"(34.1938, -118.5649)"
102113303,06/25/2010,06/24/2010,2230,21,Topanga,2157,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,6500    DE SOTO                      AV,,"(34.1953, -118.5885)"
102115951,08/17/2010,08/17/2010,1730,21,Topanga,2143,510,VEHICLE - STOLEN,,,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,FALLBROOK,VANOWEN,"(34.1937, -118.6234)"
102117890,09/24/2010,09/24/2010,1600,21,Topanga,2143,850,INDECENT EXPOSURE,0529,52,F,W,101,STREET,,,IC,Invest Cont,850,,,,SYLVAN,FALLBROOK,"(34.1847, -118.6234)"
102119855,11/03/2010,11/02/2010,1800,21,Topanga,2136,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,MILWOOD,SHERMAN,"(34.2029, -118.5943)"
130104672,01/12/2013,01/12/2013,2140,01,Central,0157,624,BATTERY - SIMPLE ASSAULT,0416,21,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,500 S  SAN PEDRO                    ST,,"(34.0442, -118.2439)"
130104678,01/13/2013,01/13/2013,0130,01,Central,0162,624,BATTERY - SIMPLE ASSAULT,0416,22,M,H,735,NIGHT CLUB (OPEN EVENINGS ONLY),500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,800 S  HILL                         ST,,"(34.0445, -118.2558)"
130104679,01/12/2013,01/12/2013,1900,01,Central,0159,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,45,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,ALAMEDA,6TH                          ST,"(34.0382, -118.2384)"
130104684,01/12/2013,01/12/2013,2000,01,Central,0171,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,34,M,H,108,PARKING LOT,,,IC,Invest Cont,420,,,,1100 W  OLYMPIC                      BL,,"(34.0463, -118.2678)"
130104685,01/06/2013,01/04/2013,2300,01,Central,0101,330,BURGLARY FROM VEHICLE,1609 1307 0358 0344,28,F,O,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,900    FIGUEROA                     TR,,"(34.0663, -118.2441)"
130104686,01/13/2013,01/12/2013,2030,01,Central,0143,310,BURGLARY,1602 0344,32,M,W,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310,,,,400 S  SPRING                       ST,,"(34.0488, -118.2483)"
130104688,01/13/2013,01/12/2013,0600,01,Central,0163,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",1601 0344,63,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,341,,,,700 S  BROADWAY,,"(34.0452, -118.2534)"
130104689,01/13/2013,01/12/2013,2330,01,Central,0159,310,BURGLARY,1609 0344,26,F,W,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310,,,,500    MATEO                        ST,,"(34.0415, -118.2332)"
130104694,01/13/2013,01/13/2013,1220,01,Central,0185,624,BATTERY - SIMPLE ASSAULT,1271 0917 0416 0906,31,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,OLYMPIC,SANTEE,"(34.0386, -118.2544)"
130104699,01/13/2013,01/12/2013,1500,01,Central,0145,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344 1300,44,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,331,,,,400 S  MAIN                         ST,,"(34.0482, -118.2472)"
130104703,01/13/2013,01/13/2013,1530,01,Central,0158,624,BATTERY - SIMPLE ASSAULT,0603 0361 0913 0416 0305,69,M,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,800 E  6TH                          ST,,"(34.0408, -118.2428)"
130104708,01/13/2013,01/11/2013,1830,01,Central,0166,624,BATTERY - SIMPLE ASSAULT,0913 0416,53,F,B,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,6TH,SAN JULIAN,"(34.0423, -118.2452)"
130104713,01/13/2013,01/13/2013,1750,01,Central,0101,210,ROBBERY,0104 0370 0354 0344 0420 0917 0313 0365 0449 0337,51,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,HAND GUN,IC,Invest Cont,210,,,,1300 W  SUNSET                       BL,,"(34.072, -118.2508)"
130104717,01/13/2013,01/13/2013,1930,01,Central,0159,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 0311,,M,W,103,ALLEY,,,AA,Adult Arrest,740,998,,,6TH                          ST,SANTA FE,"(34.0384, -118.2305)"
130104720,01/13/2013,01/13/2013,1800,01,Central,0153,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400,43,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,200 W  6TH                          ST,,"(34.046, -118.2509)"
130104722,01/14/2013,01/14/2013,0135,01,Central,0152,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000,36,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,626,,,,500 W  7TH                          ST,,"(34.0467, -118.2556)"
130104723,01/14/2013,01/13/2013,0800,01,Central,0144,480,BIKE - STOLEN,0344,41,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480,,,,400 S  MAIN                         ST,,"(34.0482, -118.2472)"
130104724,01/14/2013,01/13/2013,0330,01,Central,0111,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,34,M,B,108,PARKING LOT,,,IC,Invest Cont,420,,,,500 N  FIGUEROA                     ST,,"(34.0617, -118.2469)"
130104730,01/14/2013,01/13/2013,0200,01,Central,0143,330,BURGLARY FROM VEHICLE,0344,22,M,O,103,ALLEY,,,IC,Invest Cont,330,,,,5TH                          ST,BROADWAY,"(34.0481, -118.2507)"
130104731,01/14/2013,01/14/2013,0840,01,Central,0145,210,ROBBERY,0433,21,F,H,102,SIDEWALK,204,FOLDING KNIFE,IC,Invest Cont,210,,,,5TH                          ST,MAIN                         ST,"(34.0464, -118.248)"
130104733,01/14/2013,01/14/2013,0710,01,Central,0166,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,47,M,B,203,OTHER BUSINESS,511,VERBAL THREAT,AO,Adult Other,930,,,,600 S  SAN PEDRO                    ST,,"(34.0423, -118.2452)"
130104744,01/14/2013,01/14/2013,1210,01,Central,0153,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1501,22,M,H,406,OTHER STORE,,,IC,Invest Cont,745,,,,500 S  BROADWAY,,"(34.0481, -118.2507)"
130104746,01/14/2013,01/14/2013,1125,01,Central,0153,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0325 0346 0104,60,M,O,201,JEWELRY STORE,,,IC,Invest Cont,341,,,,600 S  HILL                         ST,,"(34.0474, -118.2531)"
130104747,01/14/2013,01/14/2013,1147,01,Central,0176,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104,26,M,W,402,MARKET,,,AA,Adult Arrest,442,,,,600 E  9TH                          ST,,"(34.0381, -118.2511)"
130104749,01/14/2013,01/12/2013,1600,01,Central,0143,310,BURGLARY,0344,26,M,O,702,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,310,,,,400 S  SPRING                       ST,,"(34.0488, -118.2483)"
130104757,01/14/2013,01/13/2013,1024,01,Central,0185,354,THEFT OF IDENTITY,0377,37,F,O,203,OTHER BUSINESS,,,IC,Invest Cont,354,,,,900 S  BROADWAY,,"(34.0423, -118.2561)"
130104761,01/14/2013,01/14/2013,1900,01,Central,0164,330,BURGLARY FROM VEHICLE,0344 1307 1607 1309,,M,H,103,ALLEY,,,IC,Invest Cont,330,,,,600 S  SPRING                       ST,,"(34.046, -118.2509)"
130104762,01/14/2013,01/14/2013,1420,01,Central,0165,664,"BUNCO, PETTY THEFT",0701 0344 0352 0325,,M,A,405,CLOTHING STORE,,,IC,Invest Cont,664,,,,200 E  6TH                          ST,,"(34.0446, -118.249)"
130104778,01/15/2013,01/14/2013,1100,01,Central,0135,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0400 0416,54,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,,,100 E  3RD                          ST,,"(34.0496, -118.2458)"
130104779,01/15/2013,01/01/2013,0205,01,Central,0181,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,,M,B,713,CONVENTION CENTER,,,IC,Invest Cont,745,,,,1200 S  FIGUEROA                     ST,,"(34.0423, -118.2666)"
130104788,01/15/2013,01/14/2013,0915,01,Central,0152,624,BATTERY - SIMPLE ASSAULT,0416,65,F,H,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,600 S  OLIVE                        ST,,"(34.0481, -118.2542)"
130104789,01/15/2013,01/15/2013,0935,01,Central,0162,624,BATTERY - SIMPLE ASSAULT,0416,24,F,H,602,BANK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,800 W  7TH                          ST,,"(34.0487, -118.2588)"
130104790,01/15/2013,01/09/2013,1722,01,Central,0157,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1814 0421 2126,36,F,B,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,IC,Invest Cont,930,,,,500 E  6TH                          ST,,"(34.0423, -118.2452)"
130104791,01/15/2013,01/12/2013,1000,01,Central,0142,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0346 0319,52,F,W,102,SIDEWALK,,,IC,Invest Cont,440,,,,300 S  HILL                         ST,,"(34.0517, -118.2491)"
130104792,01/15/2013,01/12/2013,1800,01,Central,0163,310,BURGLARY,0344,56,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,800 S  BROADWAY,,"(34.0438, -118.2547)"
130104798,01/15/2013,01/15/2013,1138,01,Central,0192,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,26,M,B,701,HOSPITAL,,,IC,Invest Cont,740,,,,1400 S  GRAND                        AV,,"(34.0372, -118.2654)"
101019393,11/09/2010,11/08/2010,1800,10,West Valley,1034,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,RESEDA,TOPHAM,"(34.1807, -118.536)"
130104802,01/15/2013,01/15/2013,1345,01,Central,0182,350,"THEFT, PERSON",0344 0346,38,M,H,108,PARKING LOT,,,IC,Invest Cont,350,,,,1200 S  FIGUEROA                     ST,,"(34.0423, -118.2666)"
101112784,05/21/2010,05/21/2010,1815,11,Northeast,1195,510,VEHICLE - STOLEN,,,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,STADIUM,SCOTT,"(34.0773, -118.2489)"
101114197,06/14/2010,06/13/2010,1900,11,Northeast,1139,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,300 S  AVENUE 63,,"(34.1127, -118.1842)"
101120501,10/01/2010,09/29/2010,1900,11,Northeast,1183,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,AARON,GLENDALE,"(34.0869, -118.2598)"
101121160,10/13/2010,10/12/2010,1800,11,Northeast,1128,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,100 S  AVENUE 64,,"(34.1137, -118.1819)"
101121311,10/15/2010,10/15/2010,1800,11,Northeast,1118,900,VIOLATION OF COURT ORDER,0906,,M,O,101,STREET,,,IC,Invest Cont,900,,,,EL MIO,AVENUE 59,"(34.1142, -118.1932)"
101123338,11/24/2010,11/23/2010,2200,11,Northeast,1118,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,200 N  AVENUE 58,,"(34.1112, -118.1926)"
101222248,08/24/2010,08/13/2010,2330,12,77th Street,1203,330,BURGLARY FROM VEHICLE,0344,20,F,B,101,STREET,,,IC,Invest Cont,330,,,,52ND,WESTERN,"(33.9951, -118.3089)"
101227644,11/10/2010,11/09/2010,1700,12,77th Street,1265,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,83RD,NORMANDIE,"(33.9637, -118.3003)"
101228356,11/18/2010,11/18/2010,1430,12,77th Street,1239,510,VEHICLE - STOLEN,,,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,SLAUSON,VERMONT,"(33.9892, -118.2915)"
101410816,04/19/2010,04/18/2010,1330,14,Pacific,1412,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,MAIN,ABBOT KINNEY                 BL,"(33.9926, -118.4744)"
101414188,06/07/2010,06/06/2010,1530,14,Pacific,1432,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,WOODLAWN,ABBOT KINNEY,"(33.9881, -118.4579)"
101418945,08/17/2010,08/16/2010,2005,14,Pacific,1489,330,BURGLARY FROM VEHICLE,0344,26,F,B,101,STREET,,,AA,Adult Arrest,330,,,,95TH,LA CIENEGA,"(33.9503, -118.3703)"
130104804,01/15/2013,01/15/2013,1600,01,Central,0191,624,BATTERY - SIMPLE ASSAULT,0416,29,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,600 W  18TH                         ST,,"(34.0354, -118.2714)"
130104806,01/15/2013,01/12/2013,0001,01,Central,0182,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,24,F,A,735,NIGHT CLUB (OPEN EVENINGS ONLY),,,IC,Invest Cont,440,,,,1200 S  FIGUEROA                     ST,,"(34.0423, -118.2666)"
101424592,10/28/2010,10/26/2010,1000,14,Pacific,1414,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,6TH,SAN JUAN,"(33.9928, -118.4668)"
101425958,11/16/2010,11/16/2010,1400,14,Pacific,1413,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,INDIANA,HAMPTON,"(33.9937, -118.4741)"
101510845,04/21/2010,04/21/2010,1800,15,N Hollywood,1529,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,VINELAND,VICTORY,"(34.1867, -118.3703)"
130104807,01/15/2013,01/13/2013,1600,01,Central,0135,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,97,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,100 E  3RD                          ST,,"(34.0496, -118.2458)"
101520795,10/08/2010,10/08/2010,2015,15,N Hollywood,1511,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,RAYMER,VARNA,"(34.2067, -118.4247)"
101523073,11/18/2010,11/18/2010,1545,15,N Hollywood,1535,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,LANKERSHIM,BURBANK,"(34.1722, -118.3801)"
130104819,01/15/2013,01/10/2013,1800,01,Central,0152,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,49,F,W,710,OTHER PREMISE,,,IC,Invest Cont,440,,,,500 S  OLIVE                        ST,,"(34.0495, -118.2529)"
101605755,02/07/2010,02/07/2010,2100,16,Foothill,1656,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,FOOTHILL,FLORALITA,"(34.2597, -118.3179)"
101609431,04/22/2010,04/22/2010,1100,16,Foothill,1651,510,VEHICLE - STOLEN,,,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,LAUREL CANYON,OSBORNE,"(34.2469, -118.4195)"
101622015,12/29/2010,12/27/2010,1400,16,Foothill,1635,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,FOOTHILL,OSBORNE,"(34.276, -118.3783)"
101704804,01/15/2010,01/14/2010,1845,17,Devonshire,1785,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,KNAPP,YOLANDA,"(34.2382, -118.5405)"
130104824,01/15/2013,01/15/2013,1730,01,Central,0156,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1402,,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,740,998,,,500    SAN JULIAN                   ST,,"(34.0446, -118.245)"
